TOT_TRXN_AM,TOT_TRXN_CNT,EFFECTIVE.RISK,Activity.Risk,HR.AM,LRF.AM,PASS.THROUGH,TRUSTED.PAIR,RUN.DATE,Overall_risk,Customer ID
11919.43676,79,9,1,0,11919.43676,Y,Y,1/31/2019,Low Risk,4988
23847.84979,80,5,9,0,23847.84979,N,Y,1/31/2019,Low Risk,6623
13570.7911,88,5,9,0,13570.7911,Y,Y,1/31/2019,High Risk,1759
28697.51196,82,1,1,0,28697.51196,N,Y,1/31/2019,Low Risk,4779
22443.69191,82,9,5,0,22443.69191,Y,N,1/31/2019,High Risk,2970
14888.21526,72,5,1,0,14888.21526,Y,N,1/31/2019,Low Risk,1547
21405.43541,76,1,9,0,21405.43541,Y,N,1/31/2019,Low Risk,6179
13187.92489,83,9,5,0,13187.92489,N,Y,1/31/2019,High Risk,7585
11022.55533,63,5,9,0,11022.55533,Y,N,1/31/2019,Low Risk,8992
14530.74508,84,9,5,0,14530.74508,Y,N,1/31/2019,Low Risk,1982
10447.95762,98,5,1,0,10447.95762,Y,Y,1/31/2019,Low Risk,3063
14942.51782,92,1,9,0,14942.51782,Y,N,1/31/2019,Low Risk,9766
14498.02997,64,9,5,0,14498.02997,Y,Y,1/31/2019,Low Risk,2814
25406.61639,98,9,1,0,25406.61639,Y,Y,1/31/2019,Low Risk,7174
14305.63138,71,1,1,0,14305.63138,N,Y,1/31/2019,Low Risk,6787
19053.25716,69,5,9,0,19053.25716,Y,Y,1/31/2019,Low Risk,1406
22586.30768,97,1,9,0,22586.30768,Y,Y,1/31/2019,Low Risk,7587
19178.46774,71,5,1,0,19178.46774,N,Y,1/31/2019,High Risk,4972
13886.29846,60,5,1,0,13886.29846,N,N,1/31/2019,Low Risk,1662
15136.28013,59,9,1,0,15136.28013,Y,Y,1/31/2019,Low Risk,6431
18104.18497,91,9,9,0,18104.18497,N,Y,1/31/2019,Low Risk,9688
12770.32356,88,9,1,0,12770.32356,N,N,1/31/2019,Low Risk,3812
18078.59491,61,5,9,0,18078.59491,Y,Y,1/31/2019,Low Risk,8363
12711.9753,92,1,9,0,12711.9753,N,Y,1/31/2019,Low Risk,3159
15291.56429,60,5,1,0,15291.56429,Y,Y,1/31/2019,Low Risk,2653
29817.54319,85,1,5,0,29817.54319,N,Y,1/31/2019,High Risk,6556
10209.89831,98,9,9,0,10209.89831,N,Y,1/31/2019,Low Risk,4013
20440.08965,98,1,1,0,20440.08965,N,N,1/31/2019,Low Risk,3145
19397.33407,84,5,1,0,19397.33407,N,Y,1/31/2019,High Risk,1032
21208.77552,82,5,9,0,21208.77552,Y,Y,1/31/2019,Low Risk,8414
29431.78883,83,9,1,0,29431.78883,Y,Y,1/31/2019,Low Risk,5056
27062.6389,86,1,5,0,27062.6389,Y,N,1/31/2019,Low Risk,6618
18287.36739,94,9,9,0,18287.36739,N,Y,1/31/2019,Low Risk,6047
11593.7864,65,9,5,0,11593.7864,Y,N,1/31/2019,Low Risk,1424
25546.60792,86,5,1,0,25546.60792,Y,Y,1/31/2019,Low Risk,8436
11048.48007,91,9,1,0,11048.48007,N,N,1/31/2019,Low Risk,4819
26891.82955,97,9,1,0,26891.82955,N,Y,1/31/2019,Low Risk,6920
13042.54452,65,9,5,0,13042.54452,Y,Y,1/31/2019,High Risk,1106
13300.27524,60,9,1,0,13300.27524,N,Y,1/31/2019,Low Risk,9205
27379.24419,68,9,9,0,27379.24419,N,N,1/31/2019,Low Risk,3791
21131.17431,96,1,5,0,21131.17431,Y,N,1/31/2019,Low Risk,8384
26879.53089,77,5,1,0,26879.53089,N,Y,1/31/2019,Low Risk,4112
27927.67405,69,5,5,0,27927.67405,Y,N,1/31/2019,Low Risk,5015
15617.39599,100,5,1,0,15617.39599,N,N,1/31/2019,Low Risk,4942
22566.71444,93,1,5,0,22566.71444,Y,Y,1/31/2019,High Risk,4629
