Customer ID,Total_Credit_Amt,Total_Credit_Cnt,Total_Debit_Amt,Total_Debit_Cnt,Age,Category,EFFECTIVE.RISK,Activity.Risk,Rating
1000,11919.43676,79,73633.0,3,25,Individual,9,1,Low Risk
1001,23847.84979,80,29340.0,2,43,Coorporate,5,9,Low Risk
1002,13570.7911,88,14454.0,1,36,Individual,5,9,High Risk
1003,28697.51196,82,21108.0,4,44,Coorporate,1,1,Low Risk
1004,22443.69191,82,44082.0,3,74,Coorporate,9,5,High Risk
1005,14888.21526,72,9778.0,5,71,Individual,5,1,Low Risk
1006,21405.43541,76,72544.0,4,38,Individual,1,9,Low Risk
1007,13187.92489,83,42070.0,4,41,Individual,9,5,High Risk
1008,11022.55533,63,32411.0,3,46,Individual,5,9,Low Risk
1009,14530.74508,84,29433.0,4,22,Individual,9,5,Low Risk
1010,10447.95762,98,30526.0,4,47,Individual,5,1,Low Risk
1011,14942.51782,92,33498.0,1,32,Individual,1,9,Low Risk
1012,14498.02997,64,21115.0,3,73,Coorporate,9,5,Low Risk
1013,25406.61639,98,38123.0,3,67,Individual,9,1,Low Risk
1014,14305.63138,71,8332.0,3,67,Coorporate,1,1,Low Risk
1015,19053.25716,69,52025.0,2,59,Coorporate,5,9,Low Risk
1016,22586.30768,97,31377.0,5,52,Coorporate,1,9,Low Risk
1017,19178.46774,71,69251.0,2,57,Individual,5,1,High Risk
1018,13886.29846,60,61774.0,4,56,Coorporate,5,1,Low Risk
1019,15136.28013,59,25313.0,1,39,Coorporate,9,1,Low Risk
1020,18104.18497,91,29644.0,1,44,Coorporate,9,9,Low Risk
1021,12770.32356,88,5414.0,1,40,Coorporate,9,1,Low Risk
1022,18078.59491,61,54088.0,3,44,Coorporate,5,9,Low Risk
1023,12711.9753,92,29119.0,3,48,Individual,1,9,Low Risk
1024,15291.56429,60,74701.0,2,27,Coorporate,5,1,Low Risk
1025,29817.54319,85,57877.0,3,22,Coorporate,1,5,High Risk
1026,10209.89831,98,69716.0,8,24,Coorporate,9,9,Low Risk
1027,20440.08965,98,26242.0,7,44,Coorporate,1,1,Low Risk
1028,19397.33407,84,53741.0,2,47,Individual,5,1,High Risk
1029,21208.77552,82,53052.0,4,60,Coorporate,5,9,Low Risk
1030,29431.78883,83,56870.0,3,29,Coorporate,9,1,Low Risk
1031,27062.6389,86,75588.0,5,63,Individual,1,5,Low Risk
1032,18287.36739,94,60130.0,2,40,Coorporate,9,9,Low Risk
1033,11593.7864,65,42631.0,2,53,Coorporate,9,5,Low Risk
1034,25546.60792,86,30055.0,6,73,Coorporate,5,1,Low Risk
1035,11048.48007,91,13761.0,3,61,Individual,9,1,Low Risk
1036,26891.82955,97,25427.0,6,66,Individual,9,1,Low Risk
1037,13042.54452,65,68332.0,1,72,Coorporate,9,5,High Risk
1038,13300.27524,60,57159.0,4,50,Individual,9,1,Low Risk
1039,27379.24419,68,42773.0,2,66,Coorporate,9,9,Low Risk
1040,21131.17431,96,73642.0,4,40,Individual,1,5,Low Risk
1041,26879.53089,77,76475.0,4,40,Coorporate,5,1,Low Risk
1042,27927.67405,69,66746.0,2,32,Coorporate,5,5,Low Risk
1043,15617.39599,100,30360.0,3,70,Individual,5,1,Low Risk
1044,22566.71444,93,42574.0,1,72,Coorporate,1,5,High Risk
1045,26753.07169,78,76614.0,6,60,Individual,5,5,Low Risk
1046,24205.94159,82,73995.0,3,64,Coorporate,9,9,Low Risk
1047,11131.95139,62,17002.0,4,41,Individual,5,9,Low Risk
1048,22177.8316,96,48535.0,3,39,Coorporate,5,1,Low Risk
1049,17293.56069,92,55550.0,3,31,Coorporate,1,1,Low Risk
1050,23452.00369,80,58506.0,5,31,Coorporate,5,9,Low Risk
1051,19044.04163,84,62940.0,10,25,Coorporate,5,9,Low Risk
1052,29437.28304,60,56726.0,2,54,Coorporate,9,9,High Risk
1053,14428.42829,67,20367.0,3,70,Individual,5,5,Low Risk
1054,16406.47861,100,27412.0,6,32,Coorporate,1,1,Low Risk
1055,21353.37196,91,7432.0,3,40,Individual,9,1,High Risk
1056,12380.90833,75,23605.0,4,41,Coorporate,1,1,High Risk
1057,13420.84318,53,27047.0,1,22,Individual,9,9,Low Risk
1058,13689.32561,64,64799.0,5,59,Individual,9,5,Low Risk
1059,17108.8717,96,38036.0,4,60,Coorporate,9,1,Low Risk
1060,20186.97432,68,21600.0,6,53,Coorporate,9,5,High Risk
1061,10135.61509,82,58472.0,5,49,Coorporate,1,9,Low Risk
1062,18616.2739,61,34588.0,3,54,Coorporate,9,9,High Risk
1063,24189.82954,66,17358.0,2,54,Coorporate,1,5,High Risk
1064,22945.08382,51,72848.0,4,37,Individual,1,9,Low Risk
1065,10148.64068,69,16082.0,4,40,Coorporate,1,5,Low Risk
1066,12546.43924,55,16728.0,5,26,Coorporate,1,9,High Risk
1067,25571.8749,67,58138.0,3,67,Coorporate,1,9,Low Risk
1068,29351.80986,69,75416.0,3,48,Coorporate,1,1,Low Risk
1069,13096.0886,70,8749.0,8,37,Individual,9,1,High Risk
1070,19537.61451,65,11879.0,4,28,Coorporate,5,5,Low Risk
1071,15022.85345,57,53741.0,2,69,Individual,9,9,Low Risk
1072,23349.01328,88,30055.0,6,54,Coorporate,1,9,Low Risk
1073,19765.62099,53,59709.0,6,44,Individual,9,9,Low Risk
1074,23433.72382,65,52162.0,1,25,Coorporate,5,9,Low Risk
1075,24803.76093,57,70022.0,5,24,Coorporate,1,9,High Risk
1076,15144.54762,54,25174.0,4,60,Individual,1,5,High Risk
1077,11483.4869,95,19344.0,6,58,Coorporate,9,1,Low Risk
1078,29780.84102,30,51936.0,4,28,Individual,9,5,Low Risk
1079,20291.30813,2,20736.0,3,40,Coorporate,9,9,Low Risk
1080,13509.77177,46,13552.0,4,48,Coorporate,1,5,Low Risk
1081,17692.08825,50,15037.0,3,58,Individual,9,1,Low Risk
1082,22141.30857,27,79008.0,2,22,Individual,9,1,Low Risk
1083,29817.33174,39,69716.0,8,54,Coorporate,1,5,Low Risk
1084,17327.48213,23,54123.0,2,26,Individual,5,5,Low Risk
1085,14978.59305,41,66677.0,4,74,Coorporate,9,5,Low Risk
1086,19386.73739,47,47484.0,4,74,Individual,9,9,Low Risk
1087,22803.87868,39,56017.0,4,66,Individual,1,9,Low Risk
1088,13712.36118,33,54589.0,3,62,Individual,9,9,High Risk
1089,22917.25436,42,72783.0,8,74,Coorporate,5,1,Low Risk
1090,25082.90259,11,56870.0,3,53,Individual,5,9,Low Risk
1091,18807.72226,34,25619.0,2,61,Individual,5,9,Low Risk
1092,14023.68503,1,28958.0,1,69,Individual,5,9,Low Risk
1093,28449.33742,45,55952.0,4,67,Individual,1,9,Low Risk
1094,20991.40274,12,42070.0,4,25,Individual,1,9,Low Risk
1095,15927.2771,3,27360.0,5,51,Coorporate,9,5,Low Risk
1096,11896.47241,19,30203.0,2,63,Individual,1,1,High Risk
1097,10504.00743,1,49351.0,2,43,Coorporate,1,9,Low Risk
1098,14685.57828,6,69244.0,4,70,Coorporate,1,9,Low Risk
1099,14609.29071,19,9124.0,1,32,Coorporate,5,1,High Risk
1100,28258.53901,2,61273.0,1,55,Individual,5,9,High Risk
1101,10405.79256,14,49223.0,4,26,Coorporate,5,5,Low Risk
1102,26893.38619,26,37707.0,4,70,Individual,9,9,Low Risk
1103,28754.8427,33,53310.0,3,71,Coorporate,5,9,High Risk
1104,26623.91598,7,48767.0,2,72,Coorporate,9,1,High Risk
1105,24218.41074,33,9660.0,3,74,Individual,5,5,High Risk
1106,29705.85771,28,64799.0,5,30,Coorporate,1,1,Low Risk
1107,10688.34663,33,62891.0,1,57,Coorporate,1,5,Low Risk
1108,16568.27311,19,37123.0,3,62,Individual,1,1,Low Risk
1109,23602.18653,41,44923.0,3,28,Individual,5,5,Low Risk
1110,11968.1945,39,73375.0,4,56,Individual,9,5,High Risk
1111,15744.84213,44,77884.0,1,52,Coorporate,9,5,Low Risk
1112,28374.5571,42,24490.0,3,22,Coorporate,5,9,Low Risk
1113,18934.12534,33,6426.0,3,55,Coorporate,5,1,High Risk
1114,21632.52448,30,17096.0,5,65,Coorporate,9,5,Low Risk
1115,22406.47865,38,73320.0,6,68,Individual,9,1,High Risk
1116,19432.91068,37,74863.0,4,39,Individual,1,5,Low Risk
1117,28841.61852,41,74539.0,5,63,Coorporate,1,5,Low Risk
1118,27268.52505,32,37456.0,6,55,Coorporate,1,1,High Risk
1119,13147.80676,40,15642.0,1,52,Coorporate,1,5,Low Risk
1120,18373.08612,32,13693.0,2,40,Coorporate,9,5,Low Risk
1121,11485.4799,16,8940.0,1,34,Coorporate,5,1,High Risk
1122,20880.86475,45,67501.0,4,64,Individual,9,5,Low Risk
1123,19702.73431,41,22689.0,3,42,Individual,1,9,High Risk
1124,26803.01156,22,13211.0,2,60,Coorporate,5,5,Low Risk
1125,25872.80939,38,30707.0,8,43,Coorporate,5,5,High Risk
1126,29575.84302,40,44458.0,6,55,Coorporate,5,5,Low Risk
1127,18296.12101,19,32007.0,7,49,Coorporate,1,1,Low Risk
1128,23184.87835,40,15436.0,6,34,Individual,9,1,Low Risk
1129,24428.34933,39,70184.0,3,42,Coorporate,9,1,Low Risk
1130,10479.80206,32,61515.0,4,47,Coorporate,5,5,Low Risk
1131,25991.57239,46,78376.0,2,59,Coorporate,1,1,Low Risk
1132,15027.22653,7,52419.0,4,67,Individual,1,5,Low Risk
1133,19114.89734,27,73332.0,5,39,Coorporate,1,9,Low Risk
1134,19725.70148,39,48162.0,1,44,Individual,5,5,High Risk
1135,21334.10772,15,39248.0,6,33,Individual,9,1,High Risk
